Academic Year;ID Student;SBCoER Effectiveness;Exercise1 Effectiveness;Exercise2 Effectiveness;Exercise3 Effectiveness;Exercise4 Effectiveness;SBCoER Effectiveness Increase;Exercise1 Effectiveness Increase;Exercise 2 Effectiveness Increase;Exercise3 Effectiveness Increase;Exercise4 Effectiveness Increase;SBCoER Participation;Exercise1 Participation;Exercise2 Participation;Exercise3 Participation;Exercise4 Participation;SBCoER Dropout;Exercise1 Dropout;Exercise2 Dropout;Exercise3 Dropout;Exercise4 Dropout;SBCoER Active Time;Exercise1 Active Time;Exercise2 Active Time;Exercise3 Active Time;Exercise4 Active Time;SBCoER Number Executions;Exercise1 Number Executions;Exercise2 Number Executions;Exercise3 Number Executions;Exercise4 Number Executions
2021-2022;21-22Student001;19;0;55;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;1;2;1;1;12;1;9;1;1
2021-2022;21-22Student002;97;100;90;100;100;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;12;3;1;6;2;236;28;1;138;69
2021-2022;21-22Student003;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;3;2;1;3;77;7;49;5;16
2021-2022;21-22Student004;89;100;100;53;100;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;9;2;2;2;3;102;15;17;14;56
2021-2022;21-22Student005;84;100;100;40;91;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;8;2;2;3;1;172;57;51;39;25
2021-2022;21-22Student006;61;50;60;100;27;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student007;21;6;30;40;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student008;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;2;3;3;211;22;19;100;70
2021-2022;21-22Student009;84;100;90;100;27;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;4;1;1;1;1;44;29;13;1;1
2021-2022;21-22Student010;69;100;100;47;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;6;2;2;1;1;14;3;9;1;1
2021-2022;21-22Student011;100;100;100;100;100;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;7;2;3;1;1;35;2;31;1;1
2021-2022;21-22Student012;73;50;100;40;100;0;0;1;0;1;0;0;1;1;1;0;0;0;0;0;8;1;4;1;2;69;1;32;10;26
2021-2022;21-22Student013;100;100;100;100;100;1;1;1;1;1;0;0;1;1;1;0;0;0;0;0;7;1;2;2;2;7;1;2;2;2
2021-2022;21-22Student014;79;100;100;87;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;7;2;2;2;1;10;2;2;5;1
2021-2022;21-22Student015;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;3;2;2;69;10;54;2;3
2021-2022;21-22Student016;79;100;35;100;100;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;6;1;1;2;2;46;28;12;4;2
2021-2022;21-22Student017;84;88;95;80;64;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;14;4;3;3;4;169;25;81;41;22
2021-2022;21-22Student018;27;100;5;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;5;2;1;1;1;30;27;1;1;1
2021-2022;21-22Student019;71;100;95;60;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;6;2;2;1;1;48;5;38;4;1
2021-2022;21-22Student020;13;50;0;0;0;0;0;0;;;0;0;0;0;0;1;0;0;1;;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student021;90;100;100;93;55;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;7;3;2;1;1;15;6;7;1;1
2021-2022;21-22Student022;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;3;2;73;31;2;36;4
2021-2022;21-22Student023;98;100;100;100;91;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;3;3;2;2;222;57;29;86;50
2021-2022;21-22Student024;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;56;6;28;14;8
2021-2022;21-22Student025;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;10;2;2;3;3;180;41;25;68;46
2021-2022;21-22Student026;52;81;95;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;6;2;2;1;1;46;20;24;1;1
2021-2022;21-22Student027;58;100;75;33;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;7;2;2;2;1;20;11;4;4;1
2021-2022;21-22Student028;37;100;35;0;0;0;1;0;0;;0;1;0;0;;1;0;0;0;1;4;1;1;1;1;10;7;1;1;1
2021-2022;21-22Student029;60;100;80;33;0;1;1;1;0;;0;1;1;0;;1;0;0;0;1;6;2;2;1;1;19;9;8;1;1
2021-2022;21-22Student030;90;63;100;100;100;1;0;1;1;1;0;0;1;1;1;0;0;0;0;0;10;1;3;2;4;37;1;5;5;26
2021-2022;21-22Student031;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;8;2;2;2;2;192;7;30;108;47
2021-2022;21-22Student032;76;100;45;73;100;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;6;2;1;1;2;18;2;1;1;14
2021-2022;21-22Student033;42;63;65;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student034;71;100;20;93;91;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;7;2;1;2;2;37;6;1;20;10
2021-2022;21-22Student035;94;100;95;80;100;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;5;2;1;1;1;5;2;1;1;1
2021-2022;21-22Student036;55;81;40;60;36;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5;1;1;2;1;12;1;1;9;1
2021-2022;21-22Student037;39;94;0;0;82;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;6;2;1;1;2;9;2;1;1;5
2021-2022;21-22Student038;100;100;100;100;100;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;10;4;3;1;2;60;16;13;1;30
2021-2022;21-22Student039;74;100;50;80;73;1;1;0;1;1;0;1;0;1;1;0;0;0;0;0;10;3;1;2;4;218;7;1;96;114
2021-2022;21-22Student040;95;100;100;100;73;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;11;2;2;5;2;310;17;33;159;101
2021-2022;21-22Student041;58;100;100;0;0;0;1;1;0;;0;1;1;0;;1;0;0;0;1;7;3;2;1;1;8;4;2;1;1
2021-2022;21-22Student042;24;31;30;27;0;0;0;0;0;;0;0;0;0;;1;0;0;0;1;4;1;1;1;1;4;1;1;1;1
2021-2022;21-22Student043;76;100;50;73;91;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;1;1;1;8;5;1;1;1
2021-2022;21-22Student044;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;6;1;1;2;2;70;6;13;2;49
2021-2022;21-22Student045;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;9;2;2;2;3;97;7;3;2;85
2021-2022;21-22Student046;77;100;50;80;91;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;4;1;1;1;1;25;22;1;1;1
2021-2022;21-22Student047;100;100;100;100;100;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;5;1;1;2;1;177;3;28;106;40
